Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
P91N,5902689379215,Dzwonek - mosiądz - nikiel,K12,R07,P03
P156,5902689392061,Tron pod monstrancję - mosiądz - 18 cm,K12,R08,P01
P166,5902689392177,Tron pod monstrancję - mosiądz - 21 cm,K12,R08,P01
A821N,5902689332302,Wieszak na puryfikaterz - vasculum -mosiądz nikiel,K12,R01,P04
INB-1041,5905805904315,Łódka na kadzidło - mosiądz,K22,,
P21N,5902689377594,Lichtarz - mosiądz niklowany,K22,,
P22N,5902689377587,Lichtarz - mosiądz niklowany,K22,,
CE-1003N,5902689336508,Trybularz - mosiądz - niklowany,K22,,
OS-1009,5902689337024,Ampułki na wino i wodę - taca,K22,,
MN-1009,5902689358388,Relikwiarz - mosiądz - 21 cm,K22,,
HWF-1011,5902689353864,Kropielnica - mosiądz - krzyż,K22,,
JAK-1005,5902689336249,Wkład olejowy - mosiądz,K22,,
CE-1002BSN,5902689349911,Łódka na kadzidło - łyżeczka - mosiądz niklowany,K22,,
HMCCB0023/3,5902689353048,Lichtarz - mosiądz,K22,,
HWF-1037,5902689353987,Dzbanek - taca - mosiądz - Chrzest Święty,K22,,
MN-1006,5902689358340,Relikwiarz - mosiądz - 20 cm,K22,,
CE-1021,5902689350085,Trybularz - mosiądz,K22,,
AS-1003N,5902689341410,Lichtarz - mosiądz - nikiel - 10 cm,K22,,
ZE-22177,5902689365331,Dzbanek - taca - mosiądz - Chrzest Święty,K22,,
CA-1007-62,5902689349621,Lichtarz - mosiądz,K22,,
CA-22141-75,5902689349799,"Lichtarz - mosiądz - 71,5 cm",K22,,
M22182,5902689357961,Trybularz - mosiądz - 23 cm,K22,,
CE-22243-1,5902689358043,Trybularz - mosiądz - 21 cm,K22,,
CE-1004,5902689349935,Trybularz - mosiądz - 30 cm,K22,,
HWF-1003,5902689336430,Kropielnica - mosiądz - Manopello,K22,,
P145,5902689336010,Lichtarz - mosiądz,K22,,
P145N,5902689331107,Lichtarz - mosiądz niklowany,K22,,
HMCCS035-40,5902689353130,Lichtarz - mosiądz - 41 cm,K24,,
P133,5902689330551,Lichtarz - mosiądz - 122 cm,K24,,
P66,5902689333224,Lichtarz - mosiądz,K24,,
HMCCB3/4,5902689353086,"Lichtarz - mosiądz - 62,5 cm",K24,,
HMCCB4/4,5902689353093,Lichtarz - mosiądz,K24,,
HMCCB1/3,5902689353055,Lichtarz - mosiądz,K24,,
P21,5902689332913,Lichtarz - mosiądz,K24,,
HMCCB1/4,5902689353062,Lichtarz - mosiądz,K24,,
P82,5902689333378,Lichtarz - mosiądz,K24,,
HWF-1004,5902689336447,Zbiornik na wodę święconą - mosiądz,K24,,
HMCCS007-100,5902689353109,Lichtarz - mosiądz - 97 cm,K24,,
HMCCS008-100,5902689353116,Lichtarz - mosiądz - 92 cm,K24,,
HMCCS035-80,5902689353154,Lichtarz - mosiądz - 79 cm,K24,,
HMCCS035-60,5902689353147,Lichtarz - mosiądz,K24,,
P142,5902689332845,Lichtarz - mosiądz,K24,,
PC-1003,5902689350955,Krzyż procesyjny - mosiądz,K24,,
P46,5902689333095,Tron pod monstrancję - mosiądz,K24,,
P45,5902689333088,Tron pod monstrancję - mosiądz,K24,,
P39,5902689333040,Tron pod monstrancję - mosiądz,K24,,
P40,5902689333057,Tron pod monstrancję - mosiądz,K24,,
P98,5902689333453,Wieszak na puryfikaterz - 30 cm -  mosiądz,K24,,
P120,5902689332685,Wieszak na puryfikaterz - 25 cm - mosiądz,K24,,
P-03,5902689359712,Młotek do gonga - drewno,K24,,
